model,ID,kraken_present,cv_fold,logp
ucb_lcb_n,134.0,0.0,0.0,-34.23786126077175
ucb_lcb_n,135.0,0.0,0.0,-26.691482663154602
ucb_lcb_n,136.0,0.0,0.0,-23.95111393928528
ucb_lcb_n,137.0,0.0,0.0,-34.76551675796509
ucb_lcb_n,138.0,0.0,0.0,-44.96087098121643
ucb_lcb_n,139.0,0.0,0.0,-38.78839373588562
ucb_lcb_n,140.0,0.0,0.0,-42.34820890426636
ucb_lcb_n,141.0,0.0,0.0,-38.57465097308159
ucb_lcb_n,142.0,0.0,0.0,-34.29508846998215
ucb_lcb_n,143.0,0.0,0.0,-59.22789120674133
ucb_lcb_n,144.0,0.0,0.0,-30.58690655231476
ucb_lcb_n,145.0,0.0,0.0,-37.9375239610672
ucb_lcb_n,146.0,0.0,0.0,-31.30274388194084
ucb_lcb_n,147.0,0.0,0.0,-30.854100942611694
ucb_lcb_n,148.0,0.0,0.0,-28.668747901916504
ucb_lcb_n,149.0,0.0,0.0,-38.187827825546265
ucb_lcb_n,150.0,0.0,0.0,-38.68863034248352
ucb_lcb_n,151.0,0.0,0.0,-34.17503380775452
ucb_lcb_n,152.0,0.0,0.0,-30.65896761417389
ucb_lcb_n,153.0,0.0,0.0,-13.723742336034775
ucb_lcb_n,154.0,0.0,0.0,-25.327638745307922
ucb_lcb_n,155.0,0.0,0.0,-33.36449754238129
ucb_lcb_n,156.0,0.0,0.0,-21.019228022545576
ucb_lcb_n,158.0,0.0,0.0,-45.188620924949646
ucb_lcb_n,159.0,0.0,0.0,-35.03711652755737
ucb_lcb_n,160.0,0.0,0.0,-16.309634745121002
ucb_lcb_n,161.0,0.0,0.0,-20.67505770921707
ucb_lcb_n,162.0,0.0,0.0,-26.205384492874146
ucb_lcb_n,163.0,0.0,0.0,-47.51134967803955
ucb_lcb_n,165.0,0.0,0.0,-41.52715992927551
ucb_lcb_n,166.0,0.0,0.0,-30.57492697238922
ucb_lcb_n,167.0,0.0,0.0,-36.858153343200684
ucb_lcb_n,168.0,0.0,0.0,-29.398226141929626
ucb_lcb_n,169.0,0.0,0.0,-17.945864990353584
ucb_lcb_n,170.0,0.0,0.0,-37.34046745300293
ucb_lcb_n,171.0,0.0,0.0,-40.32808434963226
ucb_lcb_n,172.0,0.0,0.0,-39.543914794921875
ucb_lcb_n,173.0,0.0,0.0,-46.960264921188354
ucb_lcb_n,174.0,0.0,0.0,-40.34093403816223
ucb_lcb_n,175.0,0.0,0.0,-21.93451178073883
ucb_lcb_n,176.0,0.0,0.0,-46.09096574783325
ucb_lcb_n,177.0,0.0,0.0,-15.203985080122948
ucb_lcb_n,178.0,0.0,0.0,-39.74880814552307
ucb_lcb_n,179.0,0.0,0.0,-17.950268805027008
ucb_lcb_n,180.0,0.0,0.0,-30.37253373861313
ucb_lcb_n,181.0,0.0,0.0,-35.79240679740906
ucb_lcb_n,182.0,0.0,0.0,-23.99251353740692
ucb_lcb_n,183.0,0.0,0.0,-31.08005976676941
ucb_lcb_n,185.0,0.0,0.0,-32.69407445192337
ucb_lcb_n,186.0,0.0,0.0,-18.38429866731167
ucb_lcb_n,187.0,0.0,0.0,-31.894115805625916
ucb_lcb_n,188.0,0.0,0.0,-28.423999428749084
ucb_lcb_n,190.0,0.0,0.0,-34.1395742893219
ucb_lcb_n,191.0,0.0,0.0,-16.97097671031952
ucb_lcb_n,192.0,0.0,0.0,-20.19345450401306
ucb_lcb_n,193.0,0.0,0.0,-41.231242179870605
ucb_lcb_n,195.0,0.0,0.0,-22.472881566733122
ucb_lcb_n,196.0,0.0,0.0,-29.21308508515358
ucb_lcb_n,197.0,0.0,0.0,-17.374334037303925
ucb_lcb_n,198.0,0.0,0.0,-39.177791982889175
ucb_lcb_n,199.0,0.0,0.0,-41.514538049697876
ucb_lcb_n,200.0,0.0,0.0,-24.538821771740913
ucb_lcb_n,201.0,0.0,0.0,-30.366151809692383
ucb_lcb_n,202.0,0.0,0.0,-8.930081397294998
ucb_lcb_n,203.0,0.0,0.0,-16.283108845353127
ucb_lcb_n,204.0,0.0,0.0,-43.78802824020386
ucb_lcb_n,205.0,0.0,0.0,-22.973696917295456
ucb_lcb_n,206.0,0.0,0.0,-41.128398180007935
ucb_lcb_n,207.0,0.0,0.0,-35.76360222697258
ucb_lcb_n,208.0,0.0,0.0,-30.18983292579651
ucb_lcb_n,209.0,0.0,0.0,-47.758671283721924
ucb_lcb_n,210.0,0.0,0.0,-37.602120101451874
ucb_lcb_n,211.0,0.0,0.0,-46.3300975561142
ucb_lcb_n,212.0,0.0,0.0,-31.149966597557068
ucb_lcb_n,213.0,0.0,0.0,-16.96241283416748
ucb_lcb_n,214.0,0.0,0.0,-60.23201298713684
ucb_lcb_n,215.0,0.0,0.0,-20.013922225683928
ucb_lcb_n,216.0,0.0,0.0,-25.463629722595215
ucb_lcb_n,217.0,0.0,0.0,-38.0236359834671
ucb_lcb_n,218.0,0.0,0.0,-30.643856078386307
ucb_lcb_n,219.0,0.0,0.0,-10.14386123418808
ucb_lcb_n,220.0,0.0,0.0,-31.412477612495422
ucb_lcb_n,221.0,0.0,0.0,-15.95163807272911
ucb_lcb_n,222.0,0.0,0.0,-51.1587273478508
ucb_lcb_n,223.0,0.0,0.0,-14.116704732179642
ucb_lcb_n,224.0,0.0,0.0,-52.4184353351593
ucb_lcb_n,225.0,0.0,0.0,-56.17618417739868
ucb_lcb_n,226.0,0.0,0.0,-34.713157296180725
ucb_lcb_n,227.0,0.0,0.0,-40.58816409111023
ucb_lcb_n,228.0,0.0,0.0,-36.62715697288513
ucb_lcb_n,229.0,0.0,0.0,-0.0010002159251598641
ucb_lcb_n,230.0,0.0,0.0,-42.66489553451538
ucb_lcb_n,231.0,0.0,0.0,-37.93091034889221
