"ML1","ML2","ML4","ML3","measure","itemNumber","item"
-0.0681834749650335,0.743297747158641,0.0343357245042821,0.0150614288268877,"ESISF",92,"ESISF_86"
0.0432068037903136,0.283621588449407,0.408102003196365,-0.0371752421448244,"ESISF",93,"ESISF_92"
-0.0337991653854621,0.562962182573532,0.11947946404409,0.0604299292901108,"PID5",94,"PID5_1"
0.414535313601874,-0.0214626435913598,0.108868482188392,0.037414230297835,"PID5",95,"PID5_10"
0.216688765581157,0.16022961296905,0.21381686378939,0.194860838017885,"PID5",96,"PID5_11"
-0.0217287816645398,0.090418468193041,-0.0668958844528885,0.371593393604635,"PID5",97,"PID5_13"
-0.113039804906175,0.0893146254089747,-0.022137422459541,0.500561943454463,"PID5",98,"PID5_14"
0.138306034841013,0.0778736084910718,0.349938649803938,0.271650350371103,"PID5",99,"PID5_15"
-0.0694966100442095,0.101245528658456,0.0611198507398378,0.547199920760272,"PID5",100,"PID5_16"
-0.113240073786301,0.0722376985981842,0.0604958684200667,0.633823915391874,"PID5",101,"PID5_18"
0.325687944035016,0.278697792252141,0.170268599389644,-0.169495755911846,"PID5",102,"PID5_19"
0.000557178395783522,0.501256191720178,0.249022600518813,-0.000312698489039857,"PID5",103,"PID5_2"
0.118177119785341,0.403512983902077,-0.0777899356443397,0.0262662282251535,"PID5",104,"PID5_20"
0.0891521492623256,0.313337886432864,0.203925008230694,0.223702476008257,"PID5",105,"PID5_21"
0.093940026698316,0.541042416372718,-0.0633452559317757,0.0857062438314073,"PID5",106,"PID5_22"
0.172332401990881,0.220187684999391,0.316404364454448,0.180690749564902,"PID5",107,"PID5_23"
0.29564511830722,0.302218846509403,0.0680263336883734,0.187311327299221,"PID5",108,"PID5_24"
0.0862933174446805,0.543577450973839,-0.0607659923788725,0.0712497558837059,"PID5",109,"PID5_25"
0.00822675319095043,0.457357234131106,0.293906333289754,0.0904176696437388,"PID5",110,"PID5_3"
0.180700007963982,0.096379422202014,0.133420960694701,0.534530213165622,"PID5",111,"PID5_4"
0.00230583616019529,0.435240978540888,0.218016023844262,0.191251831398394,"PID5",112,"PID5_5"
-0.079004906164906,0.198827704230309,0.28970088293987,0.250631313055407,"PID5",113,"PID5_6"
0.0858070542281358,0.223805503479536,0.282803638728269,0.28649954998736,"PID5",114,"PID5_7"
0.475379133545148,-0.136924310605336,0.231368060620065,0.220726528112777,"PID5",115,"PID5_8"
0.477648881339367,-0.0907740600509286,0.281590934032563,0.00359500808801473,"PID5",116,"PID5_9"
0.580360816657747,0.00187984251847804,0.065094507534495,-0.0960764652734137,"STICSAT",117,"STICSAT_1"
0.604559365689201,-0.0333996727490504,0.148257019610718,0.112059873952971,"STICSAT",118,"STICSAT_10"
0.254798942119393,0.0366140669537506,0.325483336277333,0.153436030213225,"STICSAT",119,"STICSAT_11"
0.566687675832126,0.0571966360503302,-0.0532219612074698,-0.0847219530392887,"STICSAT",120,"STICSAT_12"
0.533168761770456,-0.0454439972239804,0.0441444380375572,0.289318336405206,"STICSAT",121,"STICSAT_13"
0.508185289066033,0.0790858855662885,-0.0344538348326059,0.053205233950992,"STICSAT",122,"STICSAT_14"
0.442640968512951,0.0626001864115483,0.0707876821704132,-0.0391063647155677,"STICSAT",123,"STICSAT_15"
0.571930941931534,0.00449364385139712,0.132902012142541,0.0357157999792317,"STICSAT",124,"STICSAT_16"
0.490744886424152,-0.00726496248513079,0.274663592414839,0.139767455763193,"STICSAT",125,"STICSAT_17"
0.582411218500377,0.0607251516492029,-0.0177353776854643,-0.00822445515863743,"STICSAT",126,"STICSAT_18"
0.590534952420169,0.000664445545379221,0.151095914617452,0.138253741824288,"STICSAT",127,"STICSAT_19"
0.572585505439505,-0.070592333021404,0.17814298639874,-0.0267960540788171,"STICSAT",128,"STICSAT_2"
0.652510430407424,-0.0359925190615372,-0.0678517362248034,-0.0980073435835349,"STICSAT",129,"STICSAT_20"
0.515917106572748,0.108296344630958,-0.0418114002908177,-0.0512895165910142,"STICSAT",130,"STICSAT_21"
0.586051100591548,-0.058730175649806,0.100578801112719,0.177168723930227,"STICSAT",131,"STICSAT_3"
0.421249133604024,-0.0790917143799924,0.161665013158085,0.302592176586311,"STICSAT",132,"STICSAT_4"
0.341312001639346,0.031243594934628,0.12326542868635,0.278721082707268,"STICSAT",133,"STICSAT_5"
0.574723638377655,0.0797067065896464,-0.0490298539488711,-0.0245728639316416,"STICSAT",134,"STICSAT_6"
0.517059573202942,0.0150251219441186,0.00937548005334124,0.11424205790064,"STICSAT",135,"STICSAT_7"
0.669662869171904,-0.00659945003870846,-0.0438959142230009,0.00651662514769993,"STICSAT",136,"STICSAT_8"
0.480042994193234,-0.0701063073439759,0.0808391669672597,0.245107563416726,"STICSAT",137,"STICSAT_9"
